[BANK 80]
8000 - 8001: ; sram_check_disable.asm
9E27 - 9E2B: ; map_area.asm
9E38 - 9E3A: ; map_area.asm
9EC6 - 9ED7: ; map_progress_maintain.asm
9ED5 - 9ED7: ; map_area.asm
9F01 - 9F03: ; map_area.asm
9F90 - 9F91: ; vanilla_bugfixes.asm
A22F - A231: ; split_speed.asm
A23D - A23F: ; split_speed.asm
A257 - A259: ; split_speed.asm
A25D - A25F: ; split_speed.asm
A278 - A27A: ; split_speed.asm
A2BE - A2BE: ; samus_tiles_optim_animated_tiles_fix.asm
A32D - A32F: ; disableable_etanks.asm
A505 - A50A: ; pause_menu_objectives.asm
A50F - A511: ; fast_pause_menu.asm
A5BA - A5BC: ; fast_pause_menu.asm
A5CC - A5CE: ; fast_pause_menu.asm
A61D - A61F: ; pause_menu_objectives.asm
A62D - A632: ; pause_menu_objectives.asm
A63A - A63C: ; map_area.asm
A658 - A65A: ; map_area.asm
A676 - A678: ; map_area.asm
A694 - A696: ; map_area.asm
A79B - A7A0: ; pause_menu_objectives.asm
A7A8 - A7AA: ; map_area.asm
A7C6 - A7C8: ; map_area.asm
A7E4 - A7E6: ; map_area.asm
A802 - A804: ; map_area.asm
A820 - A822: ; pause_menu_objectives.asm
A83E - A840: ; pause_menu_objectives.asm
AC03 - AC07: ; vanilla_bugfixes.asm
AC5A - AC5C: ; disableable_etanks.asm
AC7C - AC7E: ; reserve_backward_fill.asm
AC87 - AC8A: ; reserve_backward_fill.asm
AC8E - AC92: ; reserve_backward_fill.asm
ACD6 - ACDB: ; reserve_backward_fill.asm
ACEF - ACF1: ; disableable_etanks.asm
AD1B - AD1D: ; reserve_backward_fill.asm
AD25 - AD28: ; reserve_backward_fill.asm
AED9 - AEDB: ; reserve_hud.asm
AF36 - AF45: ; reserve_hud.asm
AF5E - AF61: ; reserve_backward_fill.asm
AF81 - AF84: ; reserve_backward_fill.asm
AFC9 - AFD2: ; disable_major_glitches.asm
B000 - B001: ; vanilla_bugfixes.asm
B03F - B043: ; disableable_etanks.asm
B0C8 - B0D0: ; disable_major_glitches.asm
B136 - B138: ; disableable_etanks.asm
B156 - B15E: ; disable_major_glitches.asm
B1C6 - B1C8: ; split_speed.asm
B26A - B26C: ; disableable_etanks.asm
B292 - B298: ; reserve_backward_fill.asm
B3BB - B3BD: ; hud_expansion_opaque.asm
B3C6 - B3C8: ; hud_expansion_opaque.asm
B3D0 - B3D2: ; hud_expansion_opaque.asm
B4C4 - B4C6: ; vanilla_bugfixes.asm
B4F5 - B4F9: ; disableable_etanks.asm
B517 - B519: ; split_speed.asm
B51E - B520: ; split_speed.asm
B545 - B547: ; split_speed.asm
B56B - B56F: ; disableable_etanks.asm
B585 - B587: ; disable_major_glitches.asm
B672 - B676: ; map_area.asm
B924 - B92F: ; fast_pause_menu.asm
B9A0 - B9C7: ; fast_pause_menu.asm
BB30 - BB30: ; disable_map_icons.asm
BEA3 - BEBF: ; Area Map Debug.asm
BF06 - C02B: ; hud_expansion_opaque.asm
C032 - C033: ; split_speed.asm
C03A - C03B: ; split_speed.asm
C04A - C04B: ; split_speed.asm
C076 - C081: ; split_speed.asm
C18E - C18F: ; reserve_backward_fill.asm
C194 - C195: ; split_speed.asm
C1B2 - C1C9: ; split_speed.asm
C1E6 - C1E7: ; pause_menu_objectives.asm
C262 - C27C: ; disableable_etanks.asm
C27D - C289: ; vanilla_bugfixes.asm
C2A6 - C2AD: ; split_speed.asm
C37E - C38B: ; map_area.asm
C393 - C3A0: ; map_area.asm
C3AF - C3D1: ; map_area.asm
C411 - C42C: ; map_area.asm
C42D - C460: ; split_speed.asm
D521 - D960: ; hud_expansion_opaque.asm
D54F - D550: ; split_speed.asm
D65F - D660: ; split_speed.asm
D76F - D770: ; split_speed.asm
D87F - D880: ; split_speed.asm
DC95 - DC9A: ; stats.asm
DDC7 - DDE9: ; fast_reload.asm
DE1D - DE1F: ; fix_kraid_hud.asm
DEF7 - DEF9: ; Area Map Debug.asm, map_area.asm
DEFD - DF00: ; Area FX.asm
DF1D - DF28: ; Area Palettes.asm
DF23 - DF28: ; area_palettes.asm
DF4A - DF4C: ; zebes_asleep_music.asm
DF5C - DF5F: ; escape.asm
DFC2 - DFC5: ; map_area.asm
E026 - E028: ; escape.asm
E126 - E12B: ; itemsounds.asm
E1F7 - E1F9: ; map_area.asm
E2E0 - E2E3: ; fix_transition_bad_tiles.asm
E309 - E30E: ; fast_reload.asm
E325 - E32E: ; fast_doors.asm
E339 - E342: ; fast_doors.asm
E446 - E466: ; fix_transition_bad_tiles.asm
E46A - E46B: ; map_area.asm
E472 - E473: ; map_area.asm
E47E - E487: ; load_plms_early.asm
E488 - E489: ; map_area.asm
E492 - E497: ; map_area.asm
E498 - E49A: ; item_dots_disappear.asm
E4A2 - E4A4: ; map_area.asm
E4A5 - E4A7: ; alternate_door_colors.asm
E4B1 - E4BB: ; load_plms_early.asm
E4C9 - E4CB: ; load_plms_early.asm
E53C - E53F: ; load_plms_early.asm
E569 - E56B: ; Area Palettes.asm, hud_expansion_opaque.asm
E603 - E605: ; reserve_hud.asm
E63E - E642: ; map_area.asm
E659 - E65C: ; fix_water_fx_bug.asm
E664 - E667: ; gray_doors.asm
E66A - E673: ; rng_fix.asm
E675 - E684: ; Area Palettes.asm
E737 - E73A: ; fix_transition_bad_tiles.asm
E764 - E766: ; map_area.asm
E7A8 - E7AB: ; decompression.asm
E7BB - E7BE: ; decompression.asm
E7BF - E7C3: ; beam_doors.asm
E7C9 - E7CF: ; map_area.asm
E7D0 - E7D2: ; alternate_door_colors.asm
E7DC - E7DD: ; in_place_level_data.asm
E7FB - E7FC: ; in_place_level_data.asm
E833 - E83A: ; Ceres Enable.asm
E845 - E84B: ; hazard_markers.asm
EA78 - EA79: ; in_place_level_data.asm
EAA3 - EAA4: ; in_place_level_data.asm
EADB - EAE2: ; Ceres Enable.asm
EB20 - EB25: ; hazard_markers.asm
ECBB - ECBD: ; seed_hash_display.asm
EDD3 - EDD8: ; new_game.asm
EEDA - EEDA: ; new_game.asm
F5CA - F5CA: ; aim_anything.asm

[BANK 83]
AAD2 - AAD3: ; mb_left_entrance.asm
AAE3 - AAE3: ; mb_left_entrance.asm
AAEA - AAEB: ; mb_left_entrance.asm

[BANK 84]
8328 - 832A: ; vanilla_bugfixes.asm
8363 - 8372: ; vanilla_bugfixes.asm
836A - 836B: ; ultra_low_qol_vanilla_bugfixes.asm
83D7 - 8468: ; door_irq_fix.asm
8488 - 848A: ; horizontal_door_fix.asm
84E0 - 84E2: ; horizontal_door_fix.asm
858C - 85A4: ; vanilla_bugfixes.asm
861A - 861C: ; fix_kraid_vomit.asm
86D1 - 8704: ; Item Loading.asm
8717 - 871A: ; ultra_low_qol_vanilla_bugfixes.asm, vanilla_bugfixes.asm
88A7 - 88A9: ; gray_doors.asm
8902 - 8904: ; escape_items.asm
8929 - 892B: ; escape_items.asm
8950 - 8952: ; escape_items.asm
8972 - 8974: ; etank_refill_disabled.asm, etank_refill_full.asm
8986 - 8988: ; reserve_hud.asm
8AB8 - 8ABB: ; item_dots_disappear.asm
8BF2 - 8BF4: ; itemsounds.asm
8C91 - 8C93: ; map_area.asm
8CA6 - 8CAB: ; map_progress_maintain.asm
8CB4 - 8CB6: ; energy_station_reserves.asm
8CC3 - 8CC5: ; energy_station_reserves.asm
8CD2 - 8CD7: ; missile_refill_all.asm
8CE1 - 8CE6: ; missile_refill_all.asm
8CF3 - 8CF5: ; escape.asm
8CF6 - 8CFE: ; fast_saves.asm
8D05 - 8D08: ; stats.asm
8D0C - 8D0E: ; vanilla_bugfixes.asm
8D16 - 8D19: ; fast_reload.asm
8DA0 - 8DA2: ; vanilla_camerafixes.asm
8DEA - 8DEB: ; vanilla_camerafixes.asm
8E12 - 8E15: ; vanilla_camerafixes.asm
8E2D - 8E2F: ; vanilla_camerafixes.asm
8E44 - 8E45: ; vanilla_camerafixes.asm
94C9 - 94E0: ; mb_left_entrance.asm
98D1 - 9A3E: ; Area FX.asm
9CC5 - 9CCE: ; Bowling.asm
9E0D - 9E28: ; Area FX.asm
9E45 - 9EB4: ; Area FX.asm
9ED1 - 9F24: ; Area FX.asm
AC01 - AC02: ; mb_left_entrance.asm
AD86 - ADC1: ; fast_saves.asm
ADF1 - AE34: ; fast_saves.asm
AE38 - AE3A: ; energy_station_reserves.asm
AE7B - AEBE: ; fast_saves.asm
AEBF - AEC4: ; missile_refill_all.asm
AFE8 - B00D: ; fast_saves.asm
B19C - B19E: ; map_area.asm
B285 - B28A: ; energy_station_reserves.asm
B2B8 - B2BD: ; energy_station_reserves.asm
B2E8 - B2ED: ; missile_refill_all.asm
B31B - B320: ; missile_refill_all.asm
B5D4 - B5D6: ; vanilla_bugfixes.asm
B66F - B672: ; mb_left_entrance.asm
B7EF - B7F1: ; vanilla_bugfixes.asm
B7F2 - B7F4: ; split_speed.asm
B8B0 - B8D0: ; shaktool.asm
BA4C - BA7C: ; gray_doors.asm
BD2E - BD32: ; escape.asm, hyper_beam.asm
BD58 - BD5C: ; escape.asm, hyper_beam.asm
BD90 - BD94: ; escape.asm, hyper_beam.asm
BE0E - BE11: ; mb_barrier_clear.asm
C556 - C558: ; escape.asm, hyper_beam.asm
C575 - C577: ; escape.asm, hyper_beam.asm
CEE8 - CEEA: ; escape.asm, hyper_beam.asm
CF3C - CF3E: ; escape.asm, hyper_beam.asm
CF75 - CF77: ; escape.asm, hyper_beam.asm
D33B - D342: ; gray_doors.asm
D3CF - D3D4: ; Bowling.asm
D3EC - D3F1: ; Bowling.asm
D60D - D60E: ; everything_respawns.asm
D66B - D66E: ; mb_barrier_clear.asm
E094 - E096: ; fix_kraid_vomit.asm
E099 - E0B0: ; Item Loading.asm
E0B3 - E0B5: ; itemsounds.asm
E0B6 - E0B7: ; stats.asm
E0BE - E0D5: ; Item Loading.asm
E0D8 - E0DA: ; itemsounds.asm
E0DB - E0DC: ; stats.asm
E0E3 - E0FA: ; Item Loading.asm
E0FD - E0FF: ; itemsounds.asm
E100 - E101: ; stats.asm
E108 - E11F: ; Item Loading.asm
E122 - E124: ; itemsounds.asm
E125 - E126: ; stats.asm
E14F - E151: ; itemsounds.asm
E152 - E153: ; stats.asm
E17D - E17F: ; itemsounds.asm
E180 - E181: ; stats.asm
E1AB - E1AD: ; itemsounds.asm
E1AE - E1AF: ; stats.asm
E1D9 - E1DB: ; itemsounds.asm
E1DC - E1DD: ; stats.asm
E207 - E209: ; itemsounds.asm
E20A - E20B: ; stats.asm
E235 - E237: ; itemsounds.asm
E238 - E239: ; stats.asm
E263 - E265: ; itemsounds.asm
E266 - E267: ; stats.asm
E291 - E293: ; itemsounds.asm
E294 - E295: ; stats.asm
E2C3 - E2C5: ; itemsounds.asm
E2C8 - E2C9: ; stats.asm
E2F8 - E2FA: ; itemsounds.asm
E2FD - E2FE: ; stats.asm
E32D - E32F: ; itemsounds.asm
E330 - E331: ; stats.asm
E35A - E35C: ; itemsounds.asm
E35D - E35E: ; stats.asm
E388 - E38A: ; itemsounds.asm
E38B - E38C: ; stats.asm
E3B5 - E3B7: ; itemsounds.asm
E3B8 - E3B9: ; stats.asm
E3E3 - E3E5: ; itemsounds.asm
E3E6 - E3E7: ; stats.asm
E411 - E413: ; itemsounds.asm
E414 - E415: ; stats.asm
E43F - E441: ; itemsounds.asm
E442 - E443: ; stats.asm
E44A - E46C: ; Item Loading.asm
E46F - E471: ; itemsounds.asm
E472 - E473: ; stats.asm
E47C - E49E: ; Item Loading.asm
E4A1 - E4A3: ; itemsounds.asm
E4A4 - E4A5: ; stats.asm
E4AE - E4D0: ; Item Loading.asm
E4D3 - E4D5: ; itemsounds.asm
E4D6 - E4D7: ; stats.asm
E4E0 - E502: ; Item Loading.asm
E505 - E507: ; itemsounds.asm
E508 - E509: ; stats.asm
E53F - E541: ; itemsounds.asm
E542 - E543: ; stats.asm
E57A - E57C: ; itemsounds.asm
E57D - E57E: ; stats.asm
E5B5 - E5B7: ; itemsounds.asm
E5B8 - E5B9: ; stats.asm
E5F0 - E5F2: ; itemsounds.asm
E5F3 - E5F4: ; stats.asm
E62B - E62D: ; itemsounds.asm
E62E - E62F: ; stats.asm
E66F - E671: ; itemsounds.asm
E672 - E673: ; stats.asm
E6AA - E6AC: ; itemsounds.asm
E6AD - E6AE: ; stats.asm
E6E5 - E6E7: ; itemsounds.asm
E6E8 - E6E9: ; stats.asm
E720 - E722: ; itemsounds.asm
E725 - E726: ; stats.asm
E762 - E764: ; itemsounds.asm
E767 - E768: ; stats.asm
E7A4 - E7A6: ; itemsounds.asm
E7A7 - E7A8: ; stats.asm
E7DE - E7E0: ; itemsounds.asm
E7E1 - E7E2: ; stats.asm
E819 - E81B: ; itemsounds.asm
E81C - E81D: ; stats.asm
E853 - E855: ; itemsounds.asm
E856 - E857: ; stats.asm
E88E - E890: ; itemsounds.asm
E891 - E892: ; stats.asm
E8C9 - E8CB: ; itemsounds.asm
E8CC - E8CD: ; stats.asm
E8CE - E8CE: ; ultra_low_qol_vanilla_bugfixes.asm, vanilla_bugfixes.asm
E904 - E906: ; itemsounds.asm
E907 - E908: ; stats.asm
E911 - E937: ; Item Loading.asm
E93A - E93C: ; itemsounds.asm
E93D - E93E: ; stats.asm
E945 - E96F: ; Item Loading.asm
E972 - E974: ; itemsounds.asm
E975 - E976: ; stats.asm
E97D - E9A7: ; Item Loading.asm
E9AA - E9AC: ; itemsounds.asm
E9AD - E9AE: ; stats.asm
E9B5 - E9DF: ; Item Loading.asm
E9E2 - E9E4: ; itemsounds.asm
E9E5 - E9E6: ; stats.asm
E9ED - E9F0: ; Item Loading.asm
EA22 - EA24: ; itemsounds.asm
EA25 - EA26: ; stats.asm
EA63 - EA65: ; itemsounds.asm
EA66 - EA67: ; stats.asm
EAA4 - EAA6: ; itemsounds.asm
EAA7 - EAA8: ; stats.asm
EAE5 - EAE7: ; itemsounds.asm
EAE8 - EAE9: ; stats.asm
EB26 - EB28: ; itemsounds.asm
EB29 - EB2A: ; stats.asm
EB67 - EB69: ; itemsounds.asm
EB6A - EB6B: ; stats.asm
EBA8 - EBAA: ; itemsounds.asm
EBAB - EBAC: ; stats.asm
EBE9 - EBEB: ; itemsounds.asm
EBEC - EBED: ; stats.asm
EC2A - EC2C: ; itemsounds.asm
EC2F - EC30: ; stats.asm
EC72 - EC74: ; itemsounds.asm
EC77 - EC78: ; stats.asm
ECBA - ECBC: ; itemsounds.asm
ECBD - ECBE: ; stats.asm
ECFA - ECFC: ; itemsounds.asm
ECFD - ECFE: ; stats.asm
ED3B - ED3D: ; itemsounds.asm
ED3E - ED3F: ; stats.asm
ED7B - ED7D: ; itemsounds.asm
ED7E - ED7F: ; stats.asm
EDBC - EDBE: ; itemsounds.asm
EDBF - EDC0: ; stats.asm
EDFD - EDFF: ; itemsounds.asm
EE00 - EE01: ; stats.asm
EE02 - EE02: ; ultra_low_qol_vanilla_bugfixes.asm, vanilla_bugfixes.asm
EE3E - EE40: ; itemsounds.asm
EE41 - EE42: ; stats.asm

[BANK 85]
8000 - 807F: ; hud_expansion_opaque.asm
8089 - 808A: ; fast_saves.asm, itemsounds.asm
8089 - 808C: ; vanilla_fanfare_stop_sounds.asm
8090 - 8092: ; hud_expansion_opaque.asm
8093 - 8095: ; crash_handle_base.asm
80AA - 80AC: ; hud_expansion_opaque.asm
80E8 - 80EA: ; hud_expansion_opaque.asm
811E - 8121: ; fast_reload.asm
8122 - 8124: ; fast_saves.asm
8150 - 8168: ; map_area.asm
8243 - 8245: ; extended_msg_boxes.asm
82E5 - 82E7: ; crash_handle_base.asm
82EE - 82F0: ; crash_handle_base.asm
82F1 - 82F3: ; extended_msg_boxes.asm
840C - 840E: ; crash_handle_base.asm
8426 - 8435: ; map_area.asm
846D - 8471: ; item_dots_disappear.asm
8491 - 8492: ; itemsounds.asm
8493 - 8495: ; crash_handle_base.asm
877F - 9642: ; hud_expansion_opaque.asm
8851 - 8856: ; max_ammo_display_fast.asm
8891 - 8896: ; max_ammo_display_fast.asm
8951 - 8956: ; max_ammo_display_fast.asm
8993 - 8996: ; max_ammo_display_fast.asm
8A4F - 8A52: ; max_ammo_display_fast.asm
8A8F - 8A92: ; max_ammo_display_fast.asm

[BANK 86]
A8FD - A8FF: ; vanilla_camerafixes.asm
B704 - B706: ; vanilla_bugfixes.asm
D252 - D254: ; vanilla_bugfixes.asm
E685 - E686: ; fast_saves.asm
EFA5 - EFA7: ; everything_respawns.asm
F0BB - F0BD: ; buffed_drops.asm
F0D9 - F0DB: ; buffed_drops.asm

[BANK 87]
81BA - 81C0: ; Area FX.asm
8279 - 827A: ; Area FX.asm
827F - 8280: ; Area FX.asm
8285 - 8286: ; Area FX.asm
828B - 828C: ; Area FX.asm
8291 - 8292: ; Area FX.asm
82AF - 82B0: ; hud_expansion_opaque.asm
82CD - 82CE: ; hud_expansion_opaque.asm
82EB - 82EC: ; hud_expansion_opaque.asm
8301 - 8302: ; hud_expansion_opaque.asm

[BANK 88]
83DC - 83DF: ; reserve_hud.asm
8B18 - 8B21: ; hud_expansion_opaque.asm
A2E8 - A2F1: ; hud_expansion_opaque.asm
A7D8 - A815: ; Scrolling Sky v1.6.asm
AD76 - AF32: ; Scrolling Sky v1.6.asm
B0A3 - B0A6: ; Area FX.asm
B102 - B109: ; Area FX.asm
B28D - B294: ; Fake Lava.asm
B2B5 - B2BC: ; Fake Lava.asm
B446 - B449: ; sound_effect_disables.asm
B4E4 - B4E6: ; Fake Lava.asm

[BANK 89]
9100 - 91FF: walljump boots plm graphics
9200 - 95FF: ; Item Loading.asm
9600 - 96FF: spark booster plms graphics
9700 - 97FF: blue booster plm graphics
9800 - AA01: ; hud_expansion_opaque.asm
AA02 - AA06: ; Area Palettes.asm
AB5B - AB5D: ; Area Palettes.asm
AB90 - AB92: ; Area FX.asm
ABA3 - ABA5: ; Area FX.asm
ABF8 - ABFA: ; Area FX.asm
ABFB - ABFD: ; Area Palettes.asm
AC01 - AC04: ; Area Palettes.asm
AC09 - AC0C: ; Area Palettes.asm
AC11 - AC14: ; Area Palettes.asm
AC25 - AC27: ; Area FX.asm
AC31 - AC33: ; hud_expansion_opaque.asm
AC3A - AC3C: ; Area FX.asm
AC57 - AC59: ; Area FX.asm
AC62 - AC69: ; Area FX.asm
AC98 - AC9F: ; Area FX.asm

[BANK 8A]
8000 - B17F: ; hud_expansion_opaque.asm
8840 - 907F: ; Acid Tilemap.asm
B180 - B4F0: ; Scrolling Sky v1.6.asm
B502 - B5AE: ; Bowling.asm
B5B0 - B744: ; Area FX.asm
C002 - CD28: ; Area Palettes.asm
D000 - D7FF: ; Area FX.asm

[BANK 8B]
916B - 916C: ; stats.asm
9976 - 9979: ; credits.asm
999B - 999E: ; credits.asm
99E5 - 99E8: ; credits.asm
9A08 - 9A0B: ; credits.asm
9A19 - 9A1C: ; credits.asm
A131 - A140: ; title_map_animation.asm
A337 - A354: ; title_map_animation.asm
A359 - A35A: ; title_map_animation.asm
E0D1 - E0D4: ; credits.asm
E62F - E631: ; escape_items.asm
E65B - E65D: ; escape.asm
E661 - E663: ; escape.asm
F600 - F602: ; credits.asm

[BANK 8C]
F3E9 - ????: Used for updated spritemap on title screen

[BANK 8D]
C4FF - C520: ; Area Palette Glows.asm
C527 - C54A: ; Area Palette Glows.asm
C686 - C694: ; Area FX.asm
E379 - E387: ; complementary_suits.asm
E45A - E45C: ; Area Palette Glows.asm
EC59 - EC5E: ; Area FX.asm
F765 - F768: ; Area Palette Glows.asm
F76D - F770: ; Area Palette Glows.asm
F771 - F774: ; Area FX.asm
F775 - F794: ; Area Palette Glows.asm
F795 - F79C: ; Area FX.asm
F79D - F7A4: ; Area Palette Glows.asm
F891 - F93D: ; Area Palette Glows.asm
FFC9 - FFCC: ; Area FX.asm
FFCD - FFEC: ; Area Palette Glows.asm

[BANK 8E]
8000 - DBFF: ; hud_expansion_opaque.asm

[BANK 8F]
8642 - 8643: ; gray_doors.asm
8647 - 8647: ; gray_doors.asm
91C9 - 91D2: ; Scrolling Sky v1.6.asm
92C9 - 92CA: ; music.asm
9318 - 9319: ; music.asm
93BB - 93BC: ; music.asm
9472 - 9473: ; music.asm
949D - 949E: ; music.asm
9563 - 9564: ; music.asm
958E - 958F: ; music.asm
95B9 - 95BA: ; music.asm
95E5 - 95E6: ; music.asm
9610 - 9611: ; music.asm
966C - 966D: ; music.asm
96D5 - 96D6: ; music.asm
9771 - 9772: ; music.asm
98F3 - 98F4: ; music.asm
991E - 991F: ; music.asm
997A - 997B: ; music.asm
99A5 - 99A6: ; music.asm
99CE - 99CF: ; music.asm
9A0A - 9A0B: ; music.asm
9A5A - 9A5B: ; music.asm
9A74 - 9A75: ; music.asm
9AA6 - 9AA7: ; music.asm
9AB6 - 9AB7: ; all_items_spawn.asm
9AC0 - 9AC1: ; music.asm
